ID
0
1
2
3
4   ID        Имя     Фамилия Дата рождения Успеваемость
0  01  Екатерина    Узбекова    17.08.2010     Хорошист
1  02      Мария    Терехова    04.05.2011     Троечник
2  03      Раиса  Гонтаренко    01.04.2009     Хорошист
3  04    Надежда   Бабенкова    23.02.2012     Отличник
4  05    Наталья  Евдокимова    08.03.2014     Троечник
   ID        Имя     Фамилия Дата рождения Успеваемость
0  01  Екатерина    Узбекова    17.08.2010     Хорошист
1  02      Мария    Терехова    04.05.2011     Троечник
2  03      Раиса  Гонтаренко    01.04.2009     Хорошист
3  04    Надежда   Бабенкова    23.02.2012     Отличник
4  05    Наталья  Евдокимова    08.03.2014     Троечник
   ID        Имя     Фамилия Дата рождения Успеваемость
0  01  Екатерина    Узбекова    17.08.2010     Хорошист
1  02      Мария    Терехова    04.05.2011     Троечник
2  03      Раиса  Гонтаренко    01.04.2009     Хорошист
3  04    Надежда   Бабенкова    23.02.2012     Отличник
4  05    Наталья  Евдокимова    08.03.2014     Троечник
   ID        Имя     Фамилия Дата рождения Успеваемость
0  01  Екатерина    Узбекова    17.08.2010     Хорошист
1  02      Мария    Терехова    04.05.2011     Троечник
2  03      Раиса  Гонтаренко    01.04.2009     Хорошист
3  04    Надежда   Бабенкова    23.02.2012     Отличник
4  05    Наталья  Евдокимова    08.03.2014     Троечник
